G 74801 1 110831 0 8379
G 70103 1 81912 1 10303
G 81912 1 46027 1 9631
G 70103 1 85348 0 10194
G 85348 0 46027 1 9630
G 17564 0 114064 0 3902
G 23362 1 15470 0 5493
G 111920 0 89532 1 7706
G 17451 1 109561 1 9033
G 19773 0 97321 0 7411
G 46051 0 33254 0 8209
G 53201 0 73569 0 10114
G 73569 0 55569 1 10506
G 55569 1 1094 1 10020
G 1094 1 5095 0 10764
G 5095 0 71840 1 10789
G 71840 1 70825 0 10344
G 70825 0 30770 1 9726
G 30770 1 95301 0 11386
G 95301 0 32518 0 10844
G 32518 0 25282 0 10495
G 25282 0 92999 1 10681
G 92999 1 76235 1 11409
G 76235 1 60538 0 9865
G 60538 0 83854 1 10218
G 83854 1 26284 0 10116
G 26284 0 93277 0 10166
G 93277 0 88335 1 11441
G 88335 1 90752 0 10807
G 90752 0 52544 1 10171
G 52544 1 112674 0 9709
G 112674 0 22974 0 9942
G 22974 0 24924 0 10725
G 24924 0 44024 0 9654
G 44024 0 95021 0 9554
G 27053 1 12044 0 10213
G 12044 0 60475 0 11057
G 27053 1 85739 0 9537
G 85739 0 60475 0 10249
G 106651 1 114690 0 9811
G 114690 0 115350 1 9605
G 106651 1 76455 1 9810
G 76455 1 115350 1 9985
G 91030 0 68220 0 5541
G 68220 0 82174 1 7607
G 91030 0 105341 1 10364
G 105341 1 13508 0 11461
G 13508 0 106117 1 9797
G 106117 1 82478 1 9894
G 82478 1 22074 0 10441
G 22074 0 82174 1 9727
G 10991 1 83257 0 10794
G 83257 0 51820 0 10218
G 51820 0 4225 0 10609
G 10991 1 26773 1 9726
G 26773 1 4225 0 10701
G 79581 0 21966 0 11874
G 21966 0 113116 0 11811
G 59101 0 29083 1 10167
G 29083 1 29113 0 10428
G 29113 0 114773 1 10658
G 114773 1 399 1 10602
G 399 1 80578 0 10722
G 80578 0 77467 1 9985
G 77467 1 56958 1 9562
G 56958 1 101528 0 9465
G 101528 0 20632 0 9366
G 20632 0 109383 0 10330
G 109383 0 59583 0 10307
G 59583 0 38963 1 10243
G 38963 1 60046 1 10301
G 60046 1 45842 1 10452
G 45842 1 74775 1 10166
G 74775 1 18919 1 11186
G 18919 1 109398 1 10413
G 109398 1 78569 0 10495
G 78569 0 9836 0 10885
G 9836 0 112774 0 11312
G 112774 0 107070 0 10862
G 107070 0 63312 0 10658
G 63312 0 95775 1 11049
G 95775 1 95450 0 10822
G 95450 0 83352 1 9920
G 83352 1 31081 1 11498
G 31081 1 84350 0 10983
G 84350 0 11693 0 11143
G 11693 0 87703 0 11390
G 87703 0 54271 0 10604
G 54271 0 99963 1 10732
G 99963 1 45315 1 10242
G 45315 1 67724 0 10334
G 67724 0 83935 1 10556
G 83935 1 25977 0 11660
G 25977 0 104371 0 10841
G 104371 0 64801 0 10295
G 64801 0 8340 0 10467
G 8340 0 38954 0 10354
G 38954 0 105195 1 9819
G 105195 1 53459 0 10181
G 53459 0 73284 1 10545
G 73284 1 63937 1 10283
G 63937 1 72346 1 10753
G 72346 1 88678 0 9879
G 88678 0 18533 0 9098
G 18533 0 80557 1 10355
G 80557 1 15153 0 10169
G 15153 0 83144 0 10413
G 83144 0 100263 0 11081
G 100263 0 68494 1 11627
G 68494 1 53693 1 10686
G 53693 1 89380 0 10931
G 89380 0 59585 0 10629
G 59585 0 58353 1 10005
G 58353 1 58225 0 9597
G 58225 0 109994 0 10400
G 109994 0 1466 1 9279
G 1466 1 32238 0 9234
G 32238 0 28892 1 9366
G 28892 1 87278 1 10843
G 87278 1 100481 0 11154
G 100481 0 36471 1 9315
G 36471 1 104688 0 9330
G 104688 0 15696 1 9094
G 15696 1 104305 1 10031
G 104305 1 75577 0 10141
G 75577 0 24249 1 9907
G 24249 1 11734 0 10032
G 11734 0 103118 0 9568
G 103118 0 70414 0 9578
G 70414 0 61217 0 11097
G 61217 0 19883 0 9079
G 19883 0 11652 1 8855
G 11652 1 105688 0 9139
G 105688 0 94096 0 10059
